Conflict of interest for Hanspeter Pfister from 2017 to 2022:
Ben-Simon, Yoav
Beyer, Johanna
Bickel, Bernd
Boorboor, Saeed
Broichhagen, Johannes
Cai, Yuanhao
Cali, Corrado
Cenameri, Alban
Chen, Yu-An
Danzl, Johann G.
Franzmeyer, Tim
Grant, Seth G. N.
Gröller, Eduard
Gu, Jinjin
Hadwiger, Markus
Hoffer, John
Jahr, Wiebke
Jonas, Peter
Kaufman, Arie
Kinley, Jambay
Kreiman, Gabriel
Krueger, Robert
Lekschas, Fritz
Lichtman, Jeff W
Lin, Jia-Ren
Lin, Jing
Lin, Zudi
Liu, Shixia
Madan, Spandan
Magid, Salma Abdel
Matejek, Brian
Michalska, Julia M.
Miguel, Eder
Mitchell, Richard
Muhlich, Jeremy L
Nobre, Carolina
Novarino, Gaia
Palágyi, Kálmán
Rashid, Rumana
Rush, Alexander M.
Santagata, Sandro
Sommer, Christoph
Sorger, Peter K
Strobelt, Hendrik
Timofte, Radu
Troidl, Jakob
Van Gool, Luc
Velicky, Philipp
Wang, Haoqian
Wang, Xueying
Wang, Zhongyuan
Watson, Jake F.
Wei, Donglai
Xia, Jiazhi
Xia, Wenyu
Xiao, Lanxi
Xu, Shuang
Yang, Weikai
Yang, Yalong
Ye, Xi
You, Li
Zhang, Jiangshe
Zhang, Mengmi
Zhang, Xingxing
Zhang, Yulun
Zhao, Jinglin
Zhao, Zixiang
Zhu, Jun
